Date,Time,Open,High,Low,Close
2021-05-19,20:30:00,1.41223,1.41223,1.41156,1.41176
2021-05-19,20:45:00,1.41173,1.41174,1.411,1.41128
2021-05-19,21:00:00,1.41129,1.41216,1.41112,1.41171
2021-05-19,21:15:00,1.41171,1.41171,1.41136,1.41159
2021-05-19,21:30:00,1.41159,1.41179,1.41133,1.41139
2021-05-19,21:45:00,1.41140,1.41155,1.41137,1.41147
2021-05-19,22:00:00,1.41156,1.41172,1.41108,1.41118
2021-05-19,22:15:00,1.41117,1.41126,1.41107,1.41109
2021-05-19,22:30:00,1.41109,1.41134,1.41107,1.41119
2021-05-19,22:45:00,1.41120,1.41121,1.41076,1.41077
2021-05-19,23:00:00,1.41075,1.41129,1.41068,1.4111
2021-05-19,23:15:00,1.41109,1.41143,1.41104,1.41121
2021-05-19,23:30:00,1.41122,1.41134,1.41089,1.41101
2021-05-19,23:45:00,1.41101,1.41102,1.41038,1.41069
2021-05-20,00:00:00,1.41068,1.41097,1.41047,1.41089
2021-05-20,00:15:00,1.41091,1.41161,1.41091,1.4113
2021-05-20,00:30:00,1.41135,1.41183,1.41134,1.41183
2021-05-20,00:45:00,1.41182,1.41212,1.4115,1.41212
2021-05-20,01:00:00,1.41208,1.4121,1.41062,1.41069
2021-05-20,01:15:00,1.41068,1.41084,1.4105,1.41064
2021-05-20,01:30:00,1.41064,1.41171,1.41009,1.4116
2021-05-20,01:45:00,1.41162,1.41201,1.41149,1.41149
2021-05-20,02:00:00,1.41150,1.4117,1.41066,1.41069
2021-05-20,02:15:00,1.41070,1.41076,1.4102,1.41052
2021-05-20,02:30:00,1.41052,1.411,1.41038,1.4109
2021-05-20,02:45:00,1.41087,1.411,1.41043,1.41049
2021-05-20,03:00:00,1.41049,1.41103,1.41049,1.41099
2021-05-20,03:15:00,1.41098,1.41154,1.41087,1.41134
2021-05-20,03:30:00,1.41133,1.41159,1.4112,1.41153
2021-05-20,03:45:00,1.41153,1.41162,1.41121,1.41143
2021-05-20,04:00:00,1.41139,1.41143,1.41106,1.4113
2021-05-20,04:15:00,1.41131,1.41151,1.41118,1.41141
2021-05-20,04:30:00,1.41137,1.41143,1.411,1.41131
2021-05-20,04:45:00,1.41129,1.41177,1.41129,1.41161
2021-05-20,05:00:00,1.41155,1.41162,1.41131,1.41134
2021-05-20,05:15:00,1.41133,1.41181,1.41128,1.41181
2021-05-20,05:30:00,1.41182,1.41207,1.41139,1.41161
2021-05-20,05:45:00,1.41161,1.41185,1.41152,1.41172
2021-05-20,06:00:00,1.41169,1.41255,1.41093,1.41245
2021-05-20,06:15:00,1.41244,1.41275,1.41191,1.41275
2021-05-20,06:30:00,1.41274,1.41344,1.41241,1.41241
2021-05-20,06:45:00,1.41241,1.41251,1.41172,1.41222
2021-05-20,07:00:00,1.41223,1.41341,1.41223,1.41319
2021-05-20,07:15:00,1.41322,1.41341,1.41277,1.41318
2021-05-20,07:30:00,1.41317,1.41393,1.41311,1.41365
2021-05-20,07:45:00,1.41367,1.41399,1.41262,1.41381
2021-05-20,08:00:00,1.41381,1.41411,1.41325,1.4141
2021-05-20,08:15:00,1.41412,1.41414,1.41261,1.4129
2021-05-20,08:30:00,1.41288,1.41289,1.4119,1.41193
2021-05-20,08:45:00,1.41191,1.41199,1.41044,1.41114
2021-05-20,09:00:00,1.41112,1.41176,1.41067,1.41152
2021-05-20,09:15:00,1.41152,1.41152,1.41021,1.4108
2021-05-20,09:30:00,1.41080,1.41178,1.41049,1.41159
2021-05-20,09:45:00,1.41159,1.41259,1.41142,1.41216
2021-05-20,10:00:00,1.41219,1.41274,1.41173,1.4118
2021-05-20,10:15:00,1.41179,1.41245,1.4117,1.41184
2021-05-20,10:30:00,1.41183,1.41367,1.4118,1.41312
2021-05-20,10:45:00,1.41314,1.41345,1.41209,1.4128
2021-05-20,11:00:00,1.41282,1.41328,1.41265,1.41307
2021-05-20,11:15:00,1.41306,1.41354,1.41274,1.41293
2021-05-20,11:30:00,1.41293,1.41311,1.41219,1.41262
2021-05-20,11:45:00,1.41260,1.41312,1.41241,1.41275
2021-05-20,12:00:00,1.41275,1.41343,1.41212,1.4122
2021-05-20,12:15:00,1.41220,1.41313,1.41207,1.41259
2021-05-20,12:30:00,1.41260,1.41345,1.4126,1.4128
2021-05-20,12:45:00,1.41279,1.41322,1.41223,1.41322
2021-05-20,13:00:00,1.41320,1.41421,1.41271,1.41413
2021-05-20,13:15:00,1.41418,1.41553,1.41396,1.4153
2021-05-20,13:30:00,1.41530,1.41618,1.41493,1.41512
2021-05-20,13:45:00,1.41511,1.41557,1.41431,1.41439
2021-05-20,14:00:00,1.41440,1.4158,1.4143,1.41562
2021-05-20,14:15:00,1.41562,1.41619,1.41531,1.41546
2021-05-20,14:30:00,1.41545,1.41589,1.41464,1.41511
2021-05-20,14:45:00,1.41514,1.41588,1.41448,1.41538
2021-05-20,15:00:00,1.41533,1.41705,1.41533,1.4164
2021-05-20,15:15:00,1.41641,1.41691,1.41609,1.41638
2021-05-20,15:30:00,1.41636,1.41813,1.41609,1.41762
2021-05-20,15:45:00,1.41758,1.41829,1.41751,1.41803
2021-05-20,16:00:00,1.41803,1.41818,1.41749,1.41761
2021-05-20,16:15:00,1.41760,1.41811,1.41737,1.41799
2021-05-20,16:30:00,1.41797,1.41817,1.41739,1.4177
2021-05-20,16:45:00,1.41775,1.41833,1.41759,1.41797
2021-05-20,17:00:00,1.41795,1.41806,1.41761,1.41784
2021-05-20,17:15:00,1.41784,1.41787,1.41749,1.41759
2021-05-20,17:30:00,1.41763,1.41767,1.41722,1.41765
2021-05-20,17:45:00,1.41765,1.41793,1.41751,1.41772
2021-05-20,18:00:00,1.41769,1.41879,1.41769,1.4183
2021-05-20,18:15:00,1.41829,1.41879,1.4182,1.41873
2021-05-20,18:30:00,1.41873,1.41882,1.41805,1.4181
2021-05-20,18:45:00,1.41814,1.41878,1.41797,1.41873
2021-05-20,19:00:00,1.41873,1.4189,1.41847,1.41889
2021-05-20,19:15:00,1.41887,1.41922,1.41884,1.41907
2021-05-20,19:30:00,1.41904,1.41908,1.41879,1.41889
2021-05-20,19:45:00,1.41889,1.41896,1.41859,1.41894
2021-05-20,20:00:00,1.41893,1.4191,1.41873,1.41882
2021-05-20,20:15:00,1.41885,1.41895,1.41857,1.4186
2021-05-20,20:30:00,1.41861,1.41891,1.41849,1.41859
2021-05-20,20:45:00,1.41859,1.41905,1.4185,1.41891
2021-05-20,21:00:00,1.41890,1.41903,1.41881,1.41893
2021-05-20,21:15:00,1.41895,1.41911,1.41888,1.41902
2021-05-20,21:30:00,1.41901,1.41934,1.41894,1.41909
2021-05-20,21:45:00,1.41909,1.41911,1.41896,1.41904
2021-05-20,22:00:00,1.41903,1.41925,1.4189,1.41925
2021-05-20,22:15:00,1.41924,1.41938,1.41898,1.41901
2021-05-20,22:30:00,1.41903,1.41911,1.41879,1.41889
